35738 2012 00002 00373 8  1.00            2012-02-24 00:00:00 00693 00158 10781 1           00010                                                                                                                                                                                                           0.00           
35739 2012 00016 00096 8  6.00            2012-02-24 00:00:00 00693 00158 10781 1           00095                                                                                                                                                                                                           0.00           
35740 2012 00016 00383 8  1.00            2012-02-24 00:00:00 00693 00158 10781 1           00095                                                                                                                                                                                                           0.00           
35747 2012 00014 00114 8  14.00           2012-02-24 00:00:00 00693 00158 10584 1           00033                                                                                                                                                                                                           0.00           
35748 2012 00016 00096 8  12.00           2012-02-24 00:00:00 00693 00158 10584 1           00095                                                                                                                                                                                                           0.00           
35749 2012 00013 00098 6  15.00           2012-02-09 00:00:00 00693 00158 10674 1           00033                                                                                                                                                                                                           0.00           
35750 2012 00013 00368 6  1.00            2012-02-09 00:00:00 00693 00158 10674 1           00012                                                                                                                                                                                                           0.00           
35751 2012 00014 00114 6  45.00           2012-02-09 00:00:00 00693 00158 10674 1           00033                                                                                                                                                                                                           0.00           
35752 2012 00014 00381 6  1.00            2012-02-09 00:00:00 00693 00158 10674 1           00012                                                                                                                                                                                                           0.00           
35753 2012 00016 00091 6  3.00            2012-02-09 00:00:00 00693 00158 10674 1           00097                                                                                                                                                                                                           0.00           
35754 2012 00016 00383 6  1.00            2012-02-09 00:00:00 00693 00158 10674 1           00095                                                                                                                                                                                                           0.00           
35761 2012 00014 00114 8  12.00           2012-02-24 00:00:00 00693 00158 10585 1           00012                                                                                                                                                                                                           0.00           
35762 2012 00016 00091 8  4.00            2012-02-24 00:00:00 00693 00158 10585 1           00097                                                                                                                                                                                                           0.00           
35763 2012 00014 00114 6  6.00            2012-02-09 00:00:00 00693 00158 10672 1           00048                                                                                                                                                                                                           0.00           
35764 2012 00014 00381 6  1.00            2012-02-09 00:00:00 00693 00158 10672 1           00046                                                                                                                                                                                                           0.00           
35765 2012 00016 00091 6  3.00            2012-02-09 00:00:00 00693 00158 10672 1           00093                                                                                                                                                                                                           0.00           
35766 2012 00016 00383 6  1.00            2012-02-09 00:00:00 00693 00158 10672 1           00097                                                                                                                                                                                                           0.00           
35767 2012 00026 00265 6  1.00            2012-02-09 00:00:00 00693 00158 10672 1           00141                                                                                                                                                                                                           0.00           
35770 2012 00014 00114 6  25.00           2012-02-09 00:00:00 00693 00158 10586 1           00012                                                                                                                                                                                                           0.00           
35771 2012 00016 00091 6  2.00            2012-02-09 00:00:00 00693 00158 10586 1           00094                                                                                                                                                                                                           0.00           
35772 2012 00016 00096 6  10.00           2012-02-09 00:00:00 00693 00158 10586 1           00095                                                                                                                                                                                                           0.00           
